Postcode,County
AB10,Aberdeenshire
AB11,Aberdeenshire
AB12,Aberdeenshire
AB13,Aberdeenshire
AB14,Aberdeenshire
AB15,Aberdeenshire
AB16,Aberdeenshire
AB21,Aberdeenshire
AB22,Aberdeenshire
AB23,Aberdeenshire
AB24,Aberdeenshire
AB25,Aberdeenshire
AB30,Kincardineshire
AB31,Kincardineshire
AB32,Aberdeenshire
AB33,Aberdeenshire
AB34,Aberdeenshire
AB35,Aberdeenshire
AB36,Aberdeenshire
AB37,Banffshire
AB38,Banffshire
AB39,Kincardineshire
AB41,Aberdeenshire
AB42,Aberdeenshire
AB43,Aberdeenshire
AB44,Banffshire
AB45,Aberdeenshire
AB51,Aberdeenshire
AB52,Aberdeenshire
AB53,Aberdeenshire
AB54,Aberdeenshire
AB55,Banffshire
AB56,Banffshire
AL1,Hertfordshire
AL10,Hertfordshire
AL2,Hertfordshire
AL3,Hertfordshire
AL4,Hertfordshire
AL5,Hertfordshire
AL6,Hertfordshire
AL7,Hertfordshire
AL8,Hertfordshire
AL9,Hertfordshire
B1,West Midlands
B10,West Midlands
B11,West Midlands
B12,West Midlands
B13,West Midlands
B14,West Midlands
B15,West Midlands
B16,West Midlands
B17,West Midlands
B18,West Midlands
B19,West Midlands
B2,West Midlands
B20,West Midlands
B21,West Midlands
B23,West Midlands
B24,West Midlands
B25,West Midlands
B26,West Midlands
B27,West Midlands
B28,West Midlands
B29,West Midlands
B3,West Midlands
B30,West Midlands
B31,West Midlands
B32,West Midlands
B33,West Midlands
B34,West Midlands
B35,West Midlands
B36,West Midlands
B37,West Midlands
B38,West Midlands
B4,West Midlands
B40,West Midlands
B42,West Midlands
B43,West Midlands
B44,West Midlands
B45,West Midlands
B46,West Midlands
B47,West Midlands
B48,West Midlands
B49,Warwickshire
B5,West Midlands
B50,Warwickshire
B6,West Midlands
B60,Worcestershire
B61,Worcestershire
B62,Worcestershire
B63,Worcestershire
B64,Staffordshire
B65,Staffordshire
B66,Staffordshire
B67,Staffordshire
B68,Worcestershire
B69,Worcestershire
B7,West Midlands
B70,Staffordshire
B71,Staffordshire
B72,Warwickshire
B73,Warwickshire
B74,Warwickshire
B75,Warwickshire
B76,Warwickshire
B77,Staffordshire
B78,Staffordshire
B79,Staffordshire
B8,West Midlands
B80,Warwickshire
B9,West Midlands
B90,Warwickshire
B91,Warwickshire
B92,Warwickshire
B93,Warwickshire
B94,Warwickshire
B95,West Midlands
B96,Worcestershire
B97,Worcestershire
B98,Worcestershire
B99,West Midlands
BA1,Somerset
BA10,Somerset
BA11,Somerset
BA12,Wiltshire
BA13,Wiltshire
BA14,Wiltshire
BA15,Wiltshire
BA16,Somerset
BA2,Somerset
BA20,Somerset
BA21,Somerset
BA22,Somerset
BA3,Somerset
BA4,Somerset
BA5,Somerset
BA6,Somerset
BA7,Somerset
BA8,Somerset
BA9,Somerset
BB1,Lancashire
