local_custodian_code,authority,country
8301,ANDREAS,ISLE OF MAN
8302,ARBORY,ISLE OF MAN
8304,BRADDAN,ISLE OF MAN
8305,BRIDE,ISLE OF MAN
8306,GERMAN,ISLE OF MAN
8307,JURBY,ISLE OF MAN
8308,LEZAYRE,ISLE OF MAN
8309,LONAN,ISLE OF MAN
8310,MALEW,ISLE OF MAN
8311,MAROWN,ISLE OF MAN
8312,MAUGHOLD,ISLE OF MAN
8315,PATRICK,ISLE OF MAN
8316,RUSHEN,ISLE OF MAN
8317,SANTON,ISLE OF MAN
8351,CASTLETOWN,ISLE OF MAN
8352,DOUGLAS,ISLE OF MAN
8353,PEEL,ISLE OF MAN
8354,RAMSEY,ISLE OF MAN
8355,LAXEY,ISLE OF MAN
8356,MICHAEL,ISLE OF MAN
8357,ONCHAN,ISLE OF MAN
8358,PORT ERIN,ISLE OF MAN
8359,PORT ST MARY,ISLE OF MAN
8399,DEPARTMENT OF TRANSPORT,ISLE OF MAN
