Local Custodian Code,Authority,Region,Country
114,BATH AND NORTH EAST SOMERSET,SOUTH WEST,ENGLAND
116,BRISTOL,SOUTH WEST,ENGLAND
119,SOUTH GLOUCESTERSHIRE,SOUTH WEST,ENGLAND
121,NORTH SOMERSET,SOUTH WEST,ENGLAND
230,LUTON,EAST OF ENGLAND,ENGLAND
235,BEDFORD,EAST OF ENGLAND,ENGLAND
240,CENTRAL BEDFORDSHIRE,EAST OF ENGLAND,ENGLAND
335,BRACKNELL FOREST,SOUTH EAST,ENGLAND
340,WEST BERKSHIRE,SOUTH EAST,ENGLAND
345,READING,SOUTH EAST,ENGLAND
350,SLOUGH,SOUTH EAST,ENGLAND
355,WINDSOR AND MAIDENHEAD,SOUTH EAST,ENGLAND
360,WOKINGHAM,SOUTH EAST,ENGLAND
405,AYLESBURY VALE,SOUTH EAST,ENGLAND
410,SOUTH BUCKS,SOUTH EAST,ENGLAND
415,CHILTERN,SOUTH EAST,ENGLAND
425,WYCOMBE,SOUTH EAST,ENGLAND
435,MILTON KEYNES,SOUTH EAST,ENGLAND
505,CAMBRIDGE,EAST OF ENGLAND,ENGLAND
510,EAST CAMBRIDGESHIRE,EAST OF ENGLAND,ENGLAND
515,FENLAND,EAST OF ENGLAND,ENGLAND
520,HUNTINGDONSHIRE,EAST OF ENGLAND,ENGLAND
530,SOUTH CAMBRIDGESHIRE,EAST OF ENGLAND,ENGLAND
540,PETERBOROUGH,EAST OF ENGLAND,ENGLAND
650,HALTON,NORTH WEST,ENGLAND
655,WARRINGTON,NORTH WEST,ENGLAND
660,CHESHIRE EAST,NORTH WEST,ENGLAND
665,CHESHIRE WEST AND CHESTER,NORTH WEST,ENGLAND
724,HARTLEPOOL,NORTH EAST,ENGLAND
728,REDCAR AND CLEVELAND,NORTH EAST,ENGLAND
734,MIDDLESBROUGH,NORTH EAST,ENGLAND
738,STOCKTON-ON-TEES,NORTH EAST,ENGLAND
835,ISLES OF SCILLY,SOUTH WEST,ENGLAND
840,CORNWALL,SOUTH WEST,ENGLAND
905,ALLERDALE,NORTH WEST,ENGLAND
910,BARROW-IN-FURNESS,NORTH WEST,ENGLAND
915,CARLISLE,NORTH WEST,ENGLAND
920,COPELAND,NORTH WEST,ENGLAND
925,EDEN,NORTH WEST,ENGLAND
930,SOUTH LAKELAND,NORTH WEST,ENGLAND
1005,AMBER VALLEY,EAST MIDLANDS,ENGLAND
1010,BOLSOVER,EAST MIDLANDS,ENGLAND
1015,CHESTERFIELD,EAST MIDLANDS,ENGLAND
1025,EREWASH,EAST MIDLANDS,ENGLAND
1030,HIGH PEAK,EAST MIDLANDS,ENGLAND
1035,NORTH EAST DERBYSHIRE,EAST MIDLANDS,ENGLAND
1040,SOUTH DERBYSHIRE,EAST MIDLANDS,ENGLAND
1045,DERBYSHIRE DALES,EAST MIDLANDS,ENGLAND
1055,DERBY,EAST MIDLANDS,ENGLAND
1105,EAST DEVON,SOUTH WEST,ENGLAND
1110,EXETER,SOUTH WEST,ENGLAND
1115,NORTH DEVON,SOUTH WEST,ENGLAND
1125,SOUTH HAMS,SOUTH WEST,ENGLAND
1130,TEIGNBRIDGE,SOUTH WEST,ENGLAND
1135,MID DEVON,SOUTH WEST,ENGLAND
1145,TORRIDGE,SOUTH WEST,ENGLAND
1150,WEST DEVON,SOUTH WEST,ENGLAND
1160,PLYMOUTH,SOUTH WEST,ENGLAND
1165,TORBAY,SOUTH WEST,ENGLAND
1210,CHRISTCHURCH,SOUTH WEST,ENGLAND
1215,NORTH DORSET,SOUTH WEST,ENGLAND
1225,PURBECK,SOUTH WEST,ENGLAND
1230,WEST DORSET,SOUTH WEST,ENGLAND
1235,WEYMOUTH AND PORTLAND,SOUTH WEST,ENGLAND
1240,EAST DORSET,SOUTH WEST,ENGLAND
